epoch,train_loss,lr,val_eer,val_rank1
1,5.520118,2.9999999999999997e-05,,
2,4.761866,8.399999999999998e-05,,
3,4.21016,0.00013799999999999997,,
4,4.038288,0.00019199999999999995,,
5,3.95015,0.00024599999999999996,,
6,3.860205,0.0003,,
7,3.760596,0.00029996482990806984,,
8,3.6468,0.00029985933614125993,,
9,3.603798,0.0002996835682187625,,
10,3.551239,0.00029943760864673685,0.033898,0.661017
11,3.497807,0.00029912157287958086,,
12,3.444097,0.0002987356092657362,,
13,3.418382,0.0002982798989780526,,
14,3.387397,0.0002977546559287453,,
15,3.352625,0.00029716012666898306,,
16,3.330162,0.0002964965902731566,,
17,3.290595,0.00029576435820787976,,
18,3.264857,0.0002949637741857858,,
19,3.264203,0.00029409521400418744,,
20,3.23618,0.0002931590853686761,0.033898,0.728814
21,3.199257,0.0002921558277017431,,
22,3.170776,0.0002910859119365133,,
23,3.152898,0.000289949840295687,,
24,3.148887,0.0002887481460557947,,
25,3.141246,0.00028748139329687496,,
26,3.11928,0.000286150176637693,,
27,3.093255,0.0002847551209566243,,
28,3.109672,0.0002832968810983342,,
29,3.076915,0.0002817761415663912,,
30,3.068568,0.00028019361620195836,0.02104,0.779661
31,3.050414,0.00027855004784871335,,
32,3.047088,0.00027684620800415467,,
33,3.031502,0.00027508289645745775,,
34,3.019873,0.00027326094091405066,,
35,3.029857,0.0002713811966070859,,
36,2.997492,0.00026944454589599077,,
37,2.979298,0.00026745189785228393,,
38,2.976909,0.00026540418783285415,,
39,2.959149,0.00026330237704089957,,
40,2.964176,0.00026114745207473554,0.018849,0.830508
41,2.950716,0.0002589404244646812,,
42,2.94121,0.00025668233019824325,,
43,2.938003,0.00025437422923381924,,
44,2.916448,0.0002520172050031489,,
45,2.915371,0.00024961236390274715,,
46,2.903824,0.00024716083477455695,,
47,2.900682,0.00024466376837606655,,
48,2.884047,0.00024212233684013933,,
49,2.874454,0.00023953773312481008,,
50,2.881707,0.0002369111704533056,0.020164,0.813559
51,2.862682,0.00023424388174455305,,
52,2.856632,0.0002315371190344429,,
53,2.856116,0.00022879215288811825,,
54,2.849529,0.00022601027180356654,,
55,2.830533,0.00022319278160679362,,
56,2.845717,0.0002203410048388636,,
57,2.831727,0.00021745628013509303,,
58,2.811858,0.00021453996159669008,,
59,2.818038,0.00021159341815513424,,
60,2.81931,0.00020861803292959415,0.019287,0.79661
61,2.809256,0.0002056152025776862,,
62,2.794905,0.000202586336639878,,
63,2.792507,0.0001995328568778441,,
64,2.789584,0.00019645619660708594,,
65,2.777155,0.00019335780002412747,,
66,2.768869,0.00019023912152860384,,
67,2.761453,0.00018710162504056017,,
68,2.766378,0.000183946783313282,,
69,2.752612,0.00018077607724197885,,
70,2.751181,0.00017759099516864618,0.016219,0.898305
71,2.74719,0.00017439303218343187,,
72,2.737267,0.0001711836894228347,,
73,2.730563,0.0001679644733650653,,
74,2.739658,0.00016473689512289897,,
75,2.720359,0.0001615024697343537,,
76,2.721283,0.00015826271545152487,,
77,2.716573,0.00015501915302791217,,
78,2.705609,0.00015177330500457152,,
79,2.698251,0.0001485266949954286,,
