temperature,protocol,seed,eer_pct,rank1_pct,val_eer_pct,val_rank1_pct
0.07,e70v30,17,0.8969,79.8206,0.1815,100.0
0.07,e70v30,31,0.9191,81.1659,0.1815,98.2759
0.07,e70v30,42,0.8827,82.0628,0.2571,98.2759
0.07,e70v30,88,0.8474,85.2018,0.1664,100.0
0.07,e70v30,99,0.8969,85.2018,0.1966,100.0
0.07,e70v30,123,0.9211,79.8206,0.1815,100.0
0.07,e70v30,256,0.8969,80.7175,0.1966,100.0
0.07,e70v30,2024,0.8969,78.9238,0.1664,100.0
0.09,e70v30,5,0.8373,83.8565,0.1815,100.0
0.09,e70v30,7,1.2504,78.9238,0.1815,100.0
0.09,e70v30,17,0.8969,78.9238,0.121,96.5517
0.09,e70v30,31,0.8474,81.1659,0.1361,98.2759
0.09,e70v30,42,0.8898,80.7175,0.1664,98.2759
0.09,e70v30,88,0.8605,84.7534,0.121,100.0
0.09,e70v30,99,0.8696,82.5112,0.1966,100.0
0.09,e70v30,123,0.8757,85.2018,0.1512,98.2759
0.09,e70v30,256,0.8969,83.4081,0.1664,100.0
0.09,e70v30,2024,0.9706,82.0628,0.1664,98.2759
0.1,e70v30,5,0.8969,82.5112,0.1361,100.0
0.1,e70v30,7,0.8524,85.2018,0.1815,98.2759
0.1,e70v30,17,0.8716,81.6143,0.121,98.2759
0.1,e70v30,31,0.8969,79.8206,0.1664,98.2759
0.1,e70v30,42,0.8959,82.9596,0.1815,96.5517
0.1,e70v30,88,0.9171,82.0628,0.1512,100.0
0.1,e70v30,99,0.8969,80.7175,0.1361,98.2759
0.1,e70v30,123,0.8342,82.5112,0.1361,100.0
0.1,e70v30,256,0.8969,82.5112,0.1512,100.0
0.1,e70v30,2024,0.9332,83.4081,0.121,100.0
0.12,e70v30,5,0.8969,78.0269,0.1512,100.0
0.12,e70v30,7,0.8969,81.1659,0.1512,100.0
0.12,e70v30,17,0.8969,81.1659,0.1512,98.2759
0.12,e70v30,31,0.908,78.4753,0.1361,100.0
0.12,e70v30,42,0.8969,83.4081,0.1361,98.2759
0.12,e70v30,88,0.8969,83.4081,0.121,100.0
0.12,e70v30,99,0.8989,81.6143,0.1361,100.0
0.12,e70v30,123,0.9231,78.9238,0.1361,100.0
0.12,e70v30,256,0.9019,82.5112,0.1361,98.2759
0.12,e70v30,2024,0.8373,80.7175,0.1512,98.2759
0.15,e70v30,5,0.909,72.1973,0.121,100.0
0.15,e70v30,7,0.8231,83.8565,0.1512,98.2759
0.15,e70v30,17,0.8969,78.4753,0.121,100.0
0.15,e70v30,31,0.8969,81.1659,0.1361,98.2759
0.15,e70v30,42,0.8969,77.13,0.1361,98.2759
0.15,e70v30,88,0.9211,75.3363,0.1361,98.2759
0.15,e70v30,99,0.8969,79.3722,0.1361,98.2759
0.15,e70v30,123,0.9615,78.4753,0.1361,100.0
0.15,e70v30,256,0.8969,70.852,0.1664,100.0
0.15,e70v30,2024,0.8666,80.2691,0.1361,98.2759
0.03,e80v20,5,0.8969,83.8565,0.1966,100.0
0.03,e80v20,7,0.8928,77.13,0.3327,96.5517
0.03,e80v20,17,0.913,79.3722,0.2874,100.0
0.03,e80v20,31,0.9029,85.6502,0.2874,100.0
0.03,e80v20,42,0.9029,82.5112,0.1664,100.0
0.03,e80v20,88,0.8817,82.0628,0.2117,100.0
0.03,e80v20,99,0.8888,82.5112,0.363,100.0
0.03,e80v20,123,0.9544,78.4753,0.3479,100.0
0.03,e80v20,256,0.9423,79.3722,0.363,100.0
0.03,e80v20,2024,0.8817,84.7534,0.2874,100.0
0.05,e80v20,5,0.8201,86.5471,0.2117,100.0
0.05,e80v20,7,0.912,81.6143,0.1966,100.0
0.05,e80v20,17,0.9726,78.4753,0.2117,98.2759
0.05,e80v20,31,0.9292,82.5112,0.1361,98.2759
0.05,e80v20,42,0.8969,82.0628,0.2117,100.0
0.05,e80v20,88,1.2726,77.5785,0.1361,100.0
0.05,e80v20,99,0.9777,78.9238,0.2722,100.0
0.05,e80v20,123,0.8969,82.9596,0.2117,100.0
0.05,e80v20,256,0.8969,83.4081,0.2117,100.0
