epoch,train_loss,lr,val_eer,val_rank1
1,5.319529,2.9999999999999997e-05,,
2,4.736835,8.399999999999998e-05,,
3,4.479638,0.00013799999999999997,,
4,4.378904,0.00019199999999999995,,
5,4.32658,0.00024599999999999996,,
6,4.1985,0.0003,,
7,4.13871,0.00029996482990806984,,
8,4.038883,0.00029985933614125993,,
9,3.994065,0.0002996835682187625,,
10,3.92242,0.00029943760864673685,0.068663,0.517241
11,3.86779,0.00029912157287958086,,
12,3.832962,0.0002987356092657362,,
13,3.787895,0.0002982798989780526,,
14,3.768944,0.0002977546559287453,,
15,3.753793,0.00029716012666898306,,
16,3.695094,0.0002964965902731566,,
17,3.671551,0.00029576435820787976,,
18,3.665249,0.0002949637741857858,,
19,3.635609,0.00029409521400418744,,
20,3.618405,0.0002931590853686761,0.085602,0.396552
21,3.587075,0.0002921558277017431,,
22,3.57044,0.0002910859119365133,,
23,3.537374,0.000289949840295687,,
24,3.530875,0.0002887481460557947,,
25,3.525598,0.00028748139329687496,,
26,3.514069,0.000286150176637693,,
27,3.49903,0.0002847551209566243,,
28,3.503015,0.0002832968810983342,,
29,3.469212,0.0002817761415663912,,
30,3.464727,0.00028019361620195836,0.068966,0.603448
31,3.439041,0.00027855004784871335,,
32,3.432368,0.00027684620800415467,,
33,3.409157,0.00027508289645745775,,
34,3.384842,0.00027326094091405066,,
35,3.39497,0.0002713811966070859,,
36,3.372734,0.00026944454589599077,,
37,3.366932,0.00026745189785228393,,
38,3.355435,0.00026540418783285415,,
39,3.336143,0.00026330237704089957,,
40,3.328228,0.00026114745207473554,0.049304,0.655172
41,3.330819,0.0002589404244646812,,
42,3.324814,0.00025668233019824325,,
43,3.302276,0.00025437422923381924,,
44,3.296516,0.0002520172050031489,,
45,3.294889,0.00024961236390274715,,
46,3.271508,0.00024716083477455695,,
47,3.272295,0.00024466376837606655,,
48,3.25763,0.00024212233684013933,,
49,3.258456,0.00023953773312481008,,
50,3.239499,0.0002369111704533056,0.050968,0.586207
51,3.247012,0.00023424388174455305,,
52,3.218839,0.0002315371190344429,,
53,3.218441,0.00022879215288811825,,
54,3.207363,0.00022601027180356654,,
55,3.197613,0.00022319278160679362,,
56,3.193233,0.0002203410048388636,,
57,3.180905,0.00021745628013509303,,
58,3.18088,0.00021453996159669008,,
59,3.172632,0.00021159341815513424,,
60,3.163807,0.00020861803292959415,0.050363,0.758621
61,3.150741,0.0002056152025776862,,
62,3.144199,0.000202586336639878,,
63,3.148777,0.0001995328568778441,,
64,3.127769,0.00019645619660708594,,
65,3.127315,0.00019335780002412747,,
66,3.124621,0.00019023912152860384,,
67,3.105566,0.00018710162504056017,,
68,3.105076,0.000183946783313282,,
69,3.101531,0.00018077607724197885,,
70,3.085077,0.00017759099516864618,0.037205,0.758621
71,3.086163,0.00017439303218343187,,
72,3.081195,0.0001711836894228347,,
73,3.070134,0.0001679644733650653,,
74,3.069943,0.00016473689512289897,,
75,3.059397,0.0001615024697343537,,
76,3.055381,0.00015826271545152487,,
77,3.055071,0.00015501915302791217,,
78,3.047998,0.00015177330500457152,,
79,3.031512,0.0001485266949954286,,
80,3.029363,0.00014528084697208797,0.034483,0.775862
81,3.024682,0.00014203728454847525,,
82,3.024143,0.00013879753026564646,,
83,3.007745,0.0001355631048771011,,
84,3.001765,0.00013233552663493482,,
85,2.999125,0.0001291163105771654,,
86,2.985237,0.00012590696781656824,,
87,2.980812,0.0001227090048313539,,
88,2.982812,0.00011952392275802127,,
89,2.961606,0.00011635321668671808,,
90,2.964242,0.00011319837495943996,0.05127,0.793103
91,2.965168,0.00011006087847139628,,
92,2.95594,0.00010694219997587262,,
