epoch,train_loss,lr,val_eer,val_rank1
1,5.549927,2.9999999999999997e-05,,
2,4.958772,8.399999999999998e-05,,
3,4.267679,0.00013799999999999997,,
4,4.077767,0.00019199999999999995,,
5,4.011676,0.00024599999999999996,,
6,3.984634,0.0003,,
7,3.890573,0.00029996482990806984,,
8,3.801851,0.00029985933614125993,,
9,3.748363,0.0002996835682187625,,
10,3.67117,0.00029943760864673685,0.048948,0.59322
11,3.616821,0.00029912157287958086,,
12,3.572419,0.0002987356092657362,,
13,3.536814,0.0002982798989780526,,
14,3.501065,0.0002977546559287453,,
15,3.484975,0.00029716012666898306,,
16,3.433245,0.0002964965902731566,,
17,3.431725,0.00029576435820787976,,
18,3.379161,0.0002949637741857858,,
19,3.374111,0.00029409521400418744,,
20,3.359505,0.0002931590853686761,0.03346,0.559322
21,3.309653,0.0002921558277017431,,
22,3.307192,0.0002910859119365133,,
23,3.275238,0.000289949840295687,,
24,3.266867,0.0002887481460557947,,
25,3.261027,0.00028748139329687496,,
26,3.235873,0.000286150176637693,,
27,3.210565,0.0002847551209566243,,
28,3.225829,0.0002832968810983342,,
29,3.200123,0.0002817761415663912,,
30,3.169207,0.00028019361620195836,0.033314,0.644068
31,3.173588,0.00027855004784871335,,
32,3.158695,0.00027684620800415467,,
33,3.150814,0.00027508289645745775,,
34,3.147618,0.00027326094091405066,,
35,3.137614,0.0002713811966070859,,
36,3.107388,0.00026944454589599077,,
37,3.094513,0.00026745189785228393,,
38,3.098415,0.00026540418783285415,,
39,3.069323,0.00026330237704089957,,
40,3.073761,0.00026114745207473554,0.020748,0.728814
41,3.074489,0.0002589404244646812,,
42,3.047677,0.00025668233019824325,,
43,3.041065,0.00025437422923381924,,
44,3.026674,0.0002520172050031489,,
45,3.026543,0.00024961236390274715,,
46,3.012831,0.00024716083477455695,,
47,3.007282,0.00024466376837606655,,
48,3.009289,0.00024212233684013933,,
49,2.988876,0.00023953773312481008,,
50,2.979113,0.0002369111704533056,0.019871,0.745763
51,2.983778,0.00023424388174455305,,
52,2.966464,0.0002315371190344429,,
53,2.957484,0.00022879215288811825,,
54,2.944078,0.00022601027180356654,,
55,2.944146,0.00022319278160679362,,
56,2.954335,0.0002203410048388636,,
57,2.937066,0.00021745628013509303,,
58,2.935847,0.00021453996159669008,,
59,2.914844,0.00021159341815513424,,
60,2.910203,0.00020861803292959415,0.016949,0.847458
61,2.915104,0.0002056152025776862,,
62,2.900335,0.000202586336639878,,
63,2.898384,0.0001995328568778441,,
64,2.886381,0.00019645619660708594,,
65,2.879488,0.00019335780002412747,,
66,2.880103,0.00019023912152860384,,
67,2.868376,0.00018710162504056017,,
68,2.866631,0.000183946783313282,,
69,2.856786,0.00018077607724197885,,
70,2.855078,0.00017759099516864618,0.015634,0.864407
71,2.840392,0.00017439303218343187,,
72,2.839484,0.0001711836894228347,,
73,2.832977,0.0001679644733650653,,
74,2.830782,0.00016473689512289897,,
75,2.825642,0.0001615024697343537,,
76,2.806469,0.00015826271545152487,,
77,2.813381,0.00015501915302791217,,
78,2.802258,0.00015177330500457152,,
79,2.806257,0.0001485266949954286,,
80,2.793767,0.00014528084697208797,0.016219,0.847458
81,2.795347,0.00014203728454847525,,
82,2.783996,0.00013879753026564646,,
83,2.774515,0.0001355631048771011,,
84,2.772977,0.00013233552663493482,,
85,2.773015,0.0001291163105771654,,
86,2.769672,0.00012590696781656824,,
87,2.759213,0.0001227090048313539,,
88,2.759313,0.00011952392275802127,,
89,2.757984,0.00011635321668671808,,
90,2.754551,0.00011319837495943996,0.016949,0.915254
91,2.748759,0.00011006087847139628,,
92,2.739187,0.00010694219997587262,,
93,2.738591,0.0001038438033929142,,
94,2.730709,0.000100767143122156,,
95,2.72303,9.771366336012209e-05,,
96,2.720414,9.468479742231387e-05,,
97,2.720601,9.168196707040595e-05,,
98,2.717446,8.870658184486585e-05,,
99,2.70853,8.576003840330998e-05,,
100,2.70047,8.284371986490704e-05,0.016803,0.881356
101,2.707251,7.995899516113649e-05,,
102,2.700751,7.710721839320647e-05,,
103,2.685838,7.42897281964335e-05,,
104,2.686796,7.150784711188183e-05,,
105,2.683035,6.876288096555715e-05,,
106,2.681443,6.605611825544703e-05,,
107,2.681522,6.338882954669452e-05,,
108,2.67351,6.0762266875190016e-05,,
109,2.669167,5.817766315986079e-05,,
110,2.666173,5.563623162393354e-05,0.013589,0.932203
111,2.657793,5.3139165225443164e-05,,
112,2.654871,5.0687636097252966e-05,,
113,2.653662,4.828279499685117e-05,,
114,2.652108,4.5925770766180865e-05,,
115,2.65049,4.3617669801756864e-05,,
116,2.643387,4.135957553531887e-05,,
117,2.643364,3.915254792526454e-05,,
118,2.64636,3.6997622959100515e-05,,
119,2.644485,3.489581216714592e-05,,
120,2.631487,3.284810214771613e-05,0.014027,0.949153
121,2.630746,3.0855454104009294e-05,,
122,2.63465,2.8918803392914152e-05,,
123,2.629307,2.7039059085949454e-05,,
124,2.621769,2.5217103542542347e-05,,
125,2.620015,2.345379199584544e-05,,
126,2.621928,2.1749952151286788e-05,,
127,2.616918,2.0106383798041745e-05,,
128,2.615712,1.8523858433608928e-05,,
129,2.611435,1.7003118901665914e-05,,
130,2.613642,1.5544879043375812e-05,0.013589,0.898305
131,2.611815,1.4149823362307116e-05,,
132,2.608798,1.281860670312514e-05,,
133,2.606798,1.1551853944205416e-05,,
134,2.616427,1.0350159704313114e-05,,
135,2.602236,9.214088063486848e-06,,
136,2.611795,8.144172298257074e-06,,
137,2.597931,7.140914631324069e-06,,
138,2.608046,6.204785995812701e-06,,
139,2.600155,5.336225814214339e-06,,
140,2.596294,4.535641792120375e-06,0.014173,0.949153
141,2.599436,3.8034097268435175e-06,,
142,2.596817,3.1398733310170636e-06,,
143,2.60206,2.545344071254826e-06,,
144,2.599227,2.020101021947496e-06,,
145,2.595653,1.5643907342639366e-06,,
146,2.595661,1.178427120419215e-06,,
147,2.593818,8.623913532632472e-07,,
148,2.587234,6.16431781237574e-07,,
149,2.592609,4.406638587400898e-07,,
150,2.592895,3.3517009193015347e-07,0.013735,0.949153
