epoch,train_loss,lr,val_eer,val_rank1
1,5.351893,2.9999999999999997e-05,,
2,4.750576,8.399999999999998e-05,,
3,4.486687,0.00013799999999999997,,
4,4.345824,0.00019199999999999995,,
5,4.321191,0.00024599999999999996,,
6,4.22654,0.0003,,
7,4.107625,0.00029996482990806984,,
8,4.052458,0.00029985933614125993,,
9,3.968103,0.0002996835682187625,,
10,3.910161,0.00029943760864673685,0.066848,0.431034
11,3.868569,0.00029912157287958086,,
12,3.8399,0.0002987356092657362,,
13,3.814637,0.0002982798989780526,,
14,3.77527,0.0002977546559287453,,
15,3.73619,0.00029716012666898306,,
16,3.687318,0.0002964965902731566,,
17,3.663881,0.00029576435820787976,,
18,3.66629,0.0002949637741857858,,
19,3.638365,0.00029409521400418744,,
20,3.629291,0.0002931590853686761,0.068966,0.482759
21,3.60996,0.0002921558277017431,,
22,3.581422,0.0002910859119365133,,
23,3.570638,0.000289949840295687,,
24,3.536187,0.0002887481460557947,,
25,3.531262,0.00028748139329687496,,
26,3.509519,0.000286150176637693,,
27,3.501115,0.0002847551209566243,,
28,3.475062,0.0002832968810983342,,
29,3.470239,0.0002817761415663912,,
30,3.467229,0.00028019361620195836,0.066092,0.448276
31,3.449818,0.00027855004784871335,,
32,3.44383,0.00027684620800415467,,
33,3.402741,0.00027508289645745775,,
34,3.396633,0.00027326094091405066,,
35,3.410756,0.0002713811966070859,,
36,3.388276,0.00026944454589599077,,
37,3.376064,0.00026745189785228393,,
38,3.362117,0.00026540418783285415,,
39,3.352777,0.00026330237704089957,,
40,3.35601,0.00026114745207473554,0.051724,0.551724
41,3.337298,0.0002589404244646812,,
42,3.334902,0.00025668233019824325,,
43,3.301861,0.00025437422923381924,,
44,3.304196,0.0002520172050031489,,
45,3.294544,0.00024961236390274715,,
46,3.278012,0.00024716083477455695,,
47,3.282535,0.00024466376837606655,,
48,3.273357,0.00024212233684013933,,
49,3.270177,0.00023953773312481008,,
50,3.254101,0.0002369111704533056,0.035995,0.741379
51,3.247367,0.00023424388174455305,,
52,3.23341,0.0002315371190344429,,
53,3.239043,0.00022879215288811825,,
54,3.213158,0.00022601027180356654,,
55,3.208029,0.00022319278160679362,,
56,3.201344,0.0002203410048388636,,
57,3.197343,0.00021745628013509303,,
58,3.186443,0.00021453996159669008,,
59,3.185077,0.00021159341815513424,,
60,3.17372,0.00020861803292959415,0.052027,0.689655
61,3.168745,0.0002056152025776862,,
62,3.145426,0.000202586336639878,,
63,3.14917,0.0001995328568778441,,
64,3.139082,0.00019645619660708594,,
65,3.139036,0.00019335780002412747,,
66,3.128385,0.00019023912152860384,,
67,3.106778,0.00018710162504056017,,
68,3.10703,0.000183946783313282,,
69,3.122861,0.00018077607724197885,,
