epoch,train_loss,lr,val_eer,val_rank1
1,5.476602,2.9999999999999997e-05,,
2,4.796928,8.399999999999998e-05,,
3,4.459176,0.00013799999999999997,,
4,4.336715,0.00019199999999999995,,
5,4.25224,0.00024599999999999996,,
6,4.208878,0.0003,,
7,4.091655,0.00029996482990806984,,
8,4.012796,0.00029985933614125993,,
9,3.951929,0.0002996835682187625,,
10,3.908051,0.00029943760864673685,0.069722,0.551724
11,3.87752,0.00029912157287958086,,
12,3.803863,0.0002987356092657362,,
13,3.788515,0.0002982798989780526,,
14,3.739253,0.0002977546559287453,,
15,3.735291,0.00029716012666898306,,
16,3.706364,0.0002964965902731566,,
17,3.648113,0.00029576435820787976,,
18,3.65294,0.0002949637741857858,,
19,3.6187,0.00029409521400418744,,
20,3.616533,0.0002931590853686761,0.066394,0.551724
21,3.568972,0.0002921558277017431,,
22,3.567575,0.0002910859119365133,,
23,3.538363,0.000289949840295687,,
24,3.526159,0.0002887481460557947,,
25,3.524412,0.00028748139329687496,,
26,3.484338,0.000286150176637693,,
27,3.469938,0.0002847551209566243,,
28,3.466548,0.0002832968810983342,,
29,3.435133,0.0002817761415663912,,
30,3.436241,0.00028019361620195836,0.048397,0.758621
31,3.42172,0.00027855004784871335,,
32,3.423868,0.00027684620800415467,,
33,3.386347,0.00027508289645745775,,
34,3.374566,0.00027326094091405066,,
35,3.394597,0.0002713811966070859,,
36,3.365651,0.00026944454589599077,,
37,3.35631,0.00026745189785228393,,
38,3.339154,0.00026540418783285415,,
39,3.318783,0.00026330237704089957,,
40,3.321484,0.00026114745207473554,0.051724,0.706897
41,3.311372,0.0002589404244646812,,
42,3.294679,0.00025668233019824325,,
43,3.283481,0.00025437422923381924,,
44,3.289627,0.0002520172050031489,,
45,3.282346,0.00024961236390274715,,
46,3.266176,0.00024716083477455695,,
47,3.261179,0.00024466376837606655,,
48,3.248451,0.00024212233684013933,,
49,3.243116,0.00023953773312481008,,
50,3.225149,0.0002369111704533056,0.051724,0.741379
51,3.218299,0.00023424388174455305,,
52,3.196369,0.0002315371190344429,,
53,3.207674,0.00022879215288811825,,
54,3.192616,0.00022601027180356654,,
55,3.174714,0.00022319278160679362,,
56,3.168511,0.0002203410048388636,,
57,3.159098,0.00021745628013509303,,
58,3.151167,0.00021453996159669008,,
59,3.145996,0.00021159341815513424,,
60,3.135361,0.00020861803292959415,0.051724,0.603448
61,3.133592,0.0002056152025776862,,
62,3.122703,0.000202586336639878,,
63,3.126,0.0001995328568778441,,
64,3.109733,0.00019645619660708594,,
65,3.101257,0.00019335780002412747,,
66,3.104561,0.00019023912152860384,,
67,3.083721,0.00018710162504056017,,
68,3.06705,0.000183946783313282,,
69,3.072561,0.00018077607724197885,,
70,3.058012,0.00017759099516864618,0.018754,0.775862
71,3.052483,0.00017439303218343187,,
72,3.045863,0.0001711836894228347,,
73,3.041798,0.0001679644733650653,,
74,3.040805,0.00016473689512289897,,
75,3.033764,0.0001615024697343537,,
76,3.026822,0.00015826271545152487,,
77,3.026515,0.00015501915302791217,,
78,3.017462,0.00015177330500457152,,
79,3.000619,0.0001485266949954286,,
80,2.99968,0.00014528084697208797,0.049153,0.741379
81,2.994804,0.00014203728454847525,,
82,2.988127,0.00013879753026564646,,
83,2.979521,0.0001355631048771011,,
84,2.966574,0.00013233552663493482,,
85,2.964763,0.0001291163105771654,,
86,2.95385,0.00012590696781656824,,
87,2.94697,0.0001227090048313539,,
88,2.947424,0.00011952392275802127,,
89,2.931231,0.00011635321668671808,,
90,2.936059,0.00011319837495943996,0.036903,0.741379
91,2.925704,0.00011006087847139628,,
92,2.923192,0.00010694219997587262,,
93,2.910396,0.0001038438033929142,,
94,2.904056,0.000100767143122156,,
95,2.897349,9.771366336012209e-05,,
96,2.896385,9.468479742231387e-05,,
97,2.895656,9.168196707040595e-05,,
98,2.879261,8.870658184486585e-05,,
99,2.882775,8.576003840330998e-05,,
100,2.874855,8.284371986490704e-05,0.0366,0.827586
101,2.86944,7.995899516113649e-05,,
102,2.872824,7.710721839320647e-05,,
103,2.845991,7.42897281964335e-05,,
104,2.842275,7.150784711188183e-05,,
105,2.856106,6.876288096555715e-05,,
106,2.853056,6.605611825544703e-05,,
107,2.832208,6.338882954669452e-05,,
108,2.832581,6.0762266875190016e-05,,
109,2.822669,5.817766315986079e-05,,
110,2.816117,5.563623162393354e-05,0.034483,0.810345
111,2.819549,5.3139165225443164e-05,,
112,2.811352,5.0687636097252966e-05,,
113,2.81155,4.828279499685117e-05,,
114,2.797113,4.5925770766180865e-05,,
115,2.802515,4.3617669801756864e-05,,
116,2.800631,4.135957553531887e-05,,
117,2.790163,3.915254792526454e-05,,
118,2.785419,3.6997622959100515e-05,,
119,2.774429,3.489581216714592e-05,,
120,2.776457,3.284810214771613e-05,0.034483,0.827586
121,2.769726,3.0855454104009294e-05,,
122,2.766518,2.8918803392914152e-05,,
123,2.772057,2.7039059085949454e-05,,
124,2.761936,2.5217103542542347e-05,,
125,2.758935,2.345379199584544e-05,,
126,2.758797,2.1749952151286788e-05,,
127,2.749038,2.0106383798041745e-05,,
128,2.747656,1.8523858433608928e-05,,
129,2.754901,1.7003118901665914e-05,,
130,2.746678,1.5544879043375812e-05,0.047792,0.810345
131,2.740742,1.4149823362307116e-05,,
132,2.739356,1.281860670312514e-05,,
133,2.738322,1.1551853944205416e-05,,
134,2.736539,1.0350159704313114e-05,,
135,2.729148,9.214088063486848e-06,,
136,2.734241,8.144172298257074e-06,,
137,2.732408,7.140914631324069e-06,,
138,2.731936,6.204785995812701e-06,,
139,2.719493,5.336225814214339e-06,,
140,2.719273,4.535641792120375e-06,0.047792,0.827586
141,2.717439,3.8034097268435175e-06,,
142,2.726945,3.1398733310170636e-06,,
143,2.723101,2.545344071254826e-06,,
144,2.721252,2.020101021947496e-06,,
145,2.717986,1.5643907342639366e-06,,
146,2.713902,1.178427120419215e-06,,
147,2.719604,8.623913532632472e-07,,
148,2.721838,6.16431781237574e-07,,
149,2.718058,4.406638587400898e-07,,
150,2.709085,3.3517009193015347e-07,0.047489,0.810345
